i,x,A,P,rho,u,p,E,a,M,k
0,0.0000000000000000e+00,9.9999999999999911e-01,3.5449077018110304e+00,1.5975168401456910e-01,-1.5912031257867825e+00,8.3462126660345184e+03,2.3747813848728529e+05,2.5246542849533273e+02,-6.3026574975836684e-03,1.2200000000000000e+00
1,4.2713567839195977e-02,9.9999999999999911e-01,3.5449077018110304e+00,1.5992982480574292e-01,-9.5472334872438358e-01,8.3461570937174147e+03,2.3721123081668519e+05,2.5232394263792096e+02,-3.7837207945596728e-03,1.2200000000000000e+00
2,8.5427135678391955e-02,9.9999999999999911e-01,3.5449077018110304e+00,1.5999416602792510e-01,-3.1818052135766939e-01,8.3461219490208805e+03,2.3711443354931887e+05,2.5227267069261444e+02,-1.2612564035735818e-03,1.2200000000000000e+00
3,1.2814070351758794e-01,9.9999999999999911e-01,3.5449077018110304e+00,1.5999416602792510e-01,3.1818052135766939e-01,8.3461219490208805e+03,2.3711443354931887e+05,2.5227267069261444e+02,1.2612564035735818e-03,1.2200000000000000e+00
4,1.7085427135678391e-01,9.9999999999999911e-01,3.5449077018110304e+00,1.5992982480574292e-01,9.5472334872438358e-01,8.3461570937174147e+03,2.3721123081668519e+05,2.5232394263792096e+02,3.7837207945596728e-03,1.2200000000000000e+00
5,2.1356783919597988e-01,9.9999999999999911e-01,3.5449077018110304e+00,1.5975168401456910e-01,1.5912031257867825e+00,8.3462126660345184e+03,2.3747813848728529e+05,2.5246542849533273e+02,6.3026574975836684e-03,1.2200000000000000e+00
6,2.5628140703517588e-01,9.9999999999999911e-01,3.5449077018110304e+00,2.4124175208774471e-02,6.8304230984823710e+02,1.2540904215916677e+04,2.5962188496726220e+06,7.9637589057491311e+02,8.5768833277353596e-01,1.2200000000000000e+00
7,2.9899497487437182e-01,9.9999999999999911e-01,3.5449077018110304e+00,1.2083572632169062e-01,5.8639762824282991e+02,7.2120953709855443e+04,2.8848912942868476e+06,8.5332204884447162e+02,6.8719380805512043e-01,1.2200000000000000e+00
8,3.4170854271356782e-01,9.9999999999999911e-01,3.5449077018110304e+00,1.7628888461996844e-01,6.3732610272262036e+02,1.0456411183700702e+05,2.8991863563357713e+06,8.5066541596912452e+02,7.4920890253489814e-01,1.2200000000000000e+00
9,3.8442211055276382e-01,9.9999999999999911e-01,3.5449077018110304e+00,2.5237031863820641e-01,7.1681223949410469e+02,1.4709014718725838e+05,2.9061579575842828e+06,8.4324265810146107e+02,8.5006638671244272e-01,1.2200000000000000e+00
10,4.2713567839195976e-01,9.9999999999999911e-01,3.5449077018110304e+00,2.6198599226608205e-01,6.8477765510458562e+02,1.5399855265039793e+05,2.9063336842314634e+06,8.4683577995479561e+02,8.0863098999092753e-01,1.2200000000000000e+00
11,4.6984924623115576e-01,9.9999999999999911e-01,3.5449077018110304e+00,2.6183571630178326e-01,6.8529374418976340e+02,1.5388592607356957e+05,2.9062655064832387e+06,8.4676894683042224e+02,8.0930429340248755e-01,1.2200000000000000e+00
12,5.1256281407035176e-01,9.9999999999999911e-01,3.5449077018110304e+00,2.6168292816936978e-01,6.8580940687899181e+02,1.5377346783519344e+05,2.9062253843636243e+06,8.4670655929380052e+02,8.0997294676799747e-01,1.2200000000000000e+00
13,5.5527638190954776e-01,9.9999999999999911e-01,3.5449077018110304e+00,2.6152986007725987e-01,6.8632528712695523e+02,1.5366103655112864e+05,2.9061885448742895e+06,8.4664462166709768e+02,8.1064152486498597e-01,1.2200000000000000e+00
14,5.9798994974874364e-01,9.9999999999999911e-01,3.5449077018110304e+00,2.6137692836406268e-01,6.8684108370941294e+02,1.5354869886806677e+05,2.9061516908554169e+06,8.4658264412779533e+02,8.1131014021323511e-01,1.2200000000000000e+00
15,6.4070351758793964e-01,9.9999999999999911e-01,3.5449077018110304e+00,2.6122407015880134e-01,6.8735697924787644e+02,1.5343641425855801e+05,2.9061148853058200e+06,8.4652061677511153e+02,8.1197901814419859e-01,1.2200000000000000e+00
