i,x,A,P,rho,u,p,E,a,M,k
0,0.0000000000000000e+00,9.9999999999999956e-01,3.5449077018110313e+00,1.9497611985097324e-01,-2.4409477871891408e-01,1.2195356924133454e+05,2.8430887427377524e+06,8.7354737167189353e+02,-2.7942935510381992e-04,1.2200000000000000e+00
1,1.0000000000000000e+00,9.9999999999999956e-01,3.5449077018110313e+00,1.9702030349325980e-01,-3.2954674376174919e-01,1.2193397277634554e+05,2.8131381978042601e+06,8.6893398927444514e+02,-3.7925406052641449e-04,1.2200000000000000e+00
2,2.0000000000000000e+00,9.9999999999999956e-01,3.5449077018110313e+00,1.9816534060493493e-01,-1.3691138742155196e-01,1.2192487828290547e+05,2.7966746978078829e+06,8.6638760746913579e+02,-1.5802556066273060e-04,1.2200000000000000e+00
3,3.0000000000000000e+00,9.9999999999999956e-01,3.5449077018110313e+00,1.9816534060493493e-01,1.3691138742155196e-01,1.2192487828290547e+05,2.7966746978078829e+06,8.6638760746913579e+02,1.5802556066273060e-04,1.2200000000000000e+00
4,4.0000000000000000e+00,9.9999999999999956e-01,3.5449077018110313e+00,1.9702030349325980e-01,3.2954674376174919e-01,1.2193397277634554e+05,2.8131381978042601e+06,8.6893398927444514e+02,3.7925406052641449e-04,1.2200000000000000e+00
5,5.0000000000000000e+00,9.9999999999999956e-01,3.5449077018110313e+00,1.9497611985097324e-01,2.4409477871891408e-01,1.2195356924133454e+05,2.8430887427377524e+06,8.7354737167189353e+02,2.7942935510381992e-04,1.2200000000000000e+00
6,6.0000000000000000e+00,9.9999999999999956e-01,3.5449077018110313e+00,2.3711308194887779e-01,1.3084421708267206e+02,1.4880963170049951e+05,2.8612387137019886e+06,8.7501939332250902e+02,1.4953293387686820e-01,1.2200000000000000e+00
7,7.0000000000000000e+00,9.9999999999999956e-01,3.5449077018110313e+00,3.4048714458063051e-01,2.0985542125587577e+02,2.1265186552845326e+05,2.8608915539213251e+06,8.7289931796492601e+02,2.4041194320684298e-01,1.2200000000000000e+00
8,8.0000000000000000e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.1394888209584640e-01,2.6861317670249565e+02,2.5795801027549984e+05,2.8686398165527666e+06,8.7192888985826312e+02,3.0806775624347099e-01,1.2200000000000000e+00
9,9.0000000000000000e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.2165067832837886e-01,3.5272077060411732e+02,3.2301171646456706e+05,2.8768003649878232e+06,8.6915886657402461e+02,4.0581852658817325e-01,1.2200000000000000e+00
10,1.0000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3155902746362049e-01,3.3669747171645758e+02,3.3010371226212010e+05,2.8794573785605188e+06,8.7042102010950828e+02,3.8682139325414894e-01,1.2200000000000000e+00
11,1.1000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3175708724712323e-01,3.3663069188850898e+02,3.3015733396873309e+05,2.8788418751664897e+06,8.7032958435611181e+02,3.8678530287759372e-01,1.2200000000000000e+00
12,1.2000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3180394331483305e-01,3.3667503726371723e+02,3.3018183423967962e+05,2.8788175576106543e+06,8.7032353273397234e+02,3.8683894506001720e-01,1.2200000000000000e+00
13,1.3000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3182264936683588e-01,3.3671722787119620e+02,3.3019927030998043e+05,2.8788815234486307e+06,8.7033120553513311e+02,3.8688401120141586e-01,1.2200000000000000e+00
14,1.4000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3181756415067793e-01,3.3671609066090582e+02,3.3019727232611703e+05,2.8788910494044232e+06,8.7033273342433245e+02,3.8688202537906757e-01,1.2200000000000000e+00
15,1.5000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3179687826856548e-01,3.3668394645809377e+02,3.3018164147087792e+05,2.8788564023164040e+06,8.7032905988035020e+02,3.8684672496673833e-01,1.2200000000000000e+00
16,1.6000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3177506943978325e-01,3.3664998313078593e+02,3.3016546635434177e+05,2.8788224493443281e+06,8.7032558762153303e+02,3.8680924463085009e-01,1.2200000000000000e+00
17,1.7000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3176758946791702e-01,3.3663944786387805e+02,3.3016004865505209e+05,2.8788122903032624e+06,8.7032456802094180e+02,3.8679759279848092e-01,1.2200000000000000e+00
