i,x,A,P,rho,u,p,E,a,M,k
0,0.0000000000000000e+00,9.9999999999999956e-01,3.5449077018110313e+00,8.6326666660492479e-01,1.7928276077960883e+00,1.2146700377966792e+05,6.3957540952393122e+05,4.1432065911132838e+02,4.3271499220953729e-03,1.2200000000000000e+00
1,4.2713567839195977e-02,9.9999999999999956e-01,3.5449077018110313e+00,1.3243924224377639e+00,4.5971003353535878e-02,1.2194965267611374e+05,4.1854407733047422e+05,3.3516746571212718e+02,1.3715831056532207e-04,1.2200000000000000e+00
2,8.5427135678391955e-02,9.9999999999999956e-01,3.5449077018110313e+00,1.4268201809652994e+00,1.6429737066808073e-02,1.2193611984993955e+05,3.8845475962121465e+05,3.2289511833737674e+02,5.0882581165694404e-05,1.2200000000000000e+00
3,1.2814070351758794e-01,9.9999999999999956e-01,3.5449077018110313e+00,1.4268201809652994e+00,-1.6429737066808073e-02,1.2193611984993955e+05,3.8845475962121465e+05,3.2289511833737674e+02,-5.0882581165694404e-05,1.2200000000000000e+00
4,1.7085427135678391e-01,9.9999999999999956e-01,3.5449077018110313e+00,1.3243924224377639e+00,-4.5971003353535878e-02,1.2194965267611374e+05,4.1854407733047422e+05,3.3516746571212718e+02,-1.3715831056532207e-04,1.2200000000000000e+00
5,2.1356783919597991e-01,9.9999999999999956e-01,3.5449077018110313e+00,8.6326666660492479e-01,-1.7928276077960883e+00,1.2146700377966792e+05,6.3957540952393122e+05,4.1432065911132838e+02,-4.3271499220953729e-03,1.2200000000000000e+00
6,2.5628140703517588e-01,9.9999999999999956e-01,3.5449077018110313e+00,2.0042390264334439e-01,1.5163726115011869e+02,1.2297943950520872e+05,2.8005727079915865e+06,8.6520976586680251e+02,1.7526069068141215e-01,1.2200000000000000e+00
7,2.9899497487437188e-01,9.9999999999999956e-01,3.5449077018110313e+00,3.3927390258034573e-01,2.1066375277075832e+02,2.1253498952554003e+05,2.8696474495364609e+06,8.7421832774783684e+02,2.4097384610257572e-01,1.2200000000000000e+00
8,3.4170854271356782e-01,9.9999999999999956e-01,3.5449077018110313e+00,4.1538847208405461e-01,2.7037789929844911e+02,2.5937260832061118e+05,2.8747782002405026e+06,8.7280002530555259e+02,3.0978218544825814e-01,1.2200000000000000e+00
9,3.8442211055276382e-01,9.9999999999999956e-01,3.5449077018110313e+00,5.2214292791808326e-01,3.5280126397973709e+02,3.2284901825758367e+05,2.8727589542591721e+06,8.6853025249946518e+02,4.0620492258553115e-01,1.2200000000000000e+00
10,4.2713567839195982e-01,9.9999999999999956e-01,3.5449077018110313e+00,5.3190585959755821e-01,3.3660605622861789e+02,3.3024835873884492e+05,2.8788220884760134e+06,8.7032781206250843e+02,3.8675778432373281e-01,1.2200000000000000e+00
11,4.6984924623115581e-01,9.9999999999999956e-01,3.5449077018110313e+00,5.3194258797894511e-01,3.3661165900095409e+02,3.3025036728617246e+05,2.8786462785780001e+06,8.7030041186123765e+02,3.8677639860134194e-01,1.2200000000000000e+00
12,5.1256281407035176e-01,9.9999999999999956e-01,3.5449077018110313e+00,5.3200250083737521e-01,3.3661627948531668e+02,3.3025194962507585e+05,2.8783435473730508e+06,8.7025348972736424e+02,3.8680256207966818e-01,1.2200000000000000e+00
13,5.5527638190954776e-01,9.9999999999999956e-01,3.5449077018110313e+00,5.3208459111262008e-01,3.3662037853061310e+02,3.3025328521879052e+05,2.8779210053303652e+06,8.7018811515463756e+02,3.8683633190140004e-01,1.2200000000000000e+00
14,5.9798994974874375e-01,9.9999999999999956e-01,3.5449077018110313e+00,5.3217357069223514e-01,3.3662380662410158e+02,3.3025432912711269e+05,2.8774593593946332e+06,8.7011673944427980e+02,3.8687200390960663e-01,1.2200000000000000e+00
15,6.4070351758793964e-01,9.9999999999999956e-01,3.5449077018110313e+00,5.3223334892358187e-01,3.3662601506233210e+02,3.3025478357517591e+05,2.8771471632771241e+06,8.7006847275977827e+02,3.8689600370713917e-01,1.2200000000000000e+00
16,6.8341708542713564e-01,9.9999999999999956e-01,3.5449077018110313e+00,5.3222765348065504e-01,3.3662635275097699e+02,3.3025432402427297e+05,2.8771735346335499e+06,8.7007252275443705e+02,3.8689459090754896e-01,1.2200000000000000e+00
17,7.2613065326633164e-01,9.9999999999999956e-01,3.5449077018110313e+00,5.3215564254658998e-01,3.3662398019050926e+02,3.3025252970225899e+05,2.8775390797359776e+06,8.7012902578816545e+02,3.8686674069468518e-01,1.2200000000000000e+00
18,7.6884422110552764e-01,9.9999999999999956e-01,3.5449077018110313e+00,5.3206140165177840e-01,3.3661893339504667e+02,3.3024942462817888e+05,2.8780104999509100e+06,8.7020199188388301e+02,3.8682850250239836e-01,1.2200000000000000e+00
19,8.1155778894472363e-01,9.9999999999999956e-01,3.5449077018110313e+00,5.3200251793294684e-01,3.3661211810702173e+02,3.3024544145626843e+05,2.8782864498203048e+06,8.7024490080010696e+02,3.8680159780027334e-01,1.2200000000000000e+00
20,8.5427135678391963e-01,9.9999999999999956e-01,3.5449077018110313e+00,5.3201783480347264e-01,3.3660442615670104e+02,3.3024101674996986e+05,2.8781648216247992e+06,8.7022654366276640e+02,3.8680091822979751e-01,1.2200000000000000e+00
21,8.9698492462311552e-01,9.9999999999999956e-01,3.5449077018110313e+00,5.3212682531075639e-01,3.3659655879698005e+02,3.3023648296099796e+05,2.8775455416622185e+06,8.7013144600035503e+02,3.8683415056906550e-01,1.2200000000000000e+00
22,9.3969849246231163e-01,9.9999999999999956e-01,3.5449077018110313e+00,5.3233625377210503e-01,3.3658886709576694e+02,3.3023199803542095e+05,2.8763948773490521e+06,8.6995436081251876e+02,3.8690405181876453e-01,1.2200000000000000e+00
23,9.8241206030150752e-01,9.9999999999999956e-01,3.5449077018110313e+00,5.3261604748995817e-01,3.3658130610539359e+02,3.3022752676400193e+05,2.8748729039859036e+06,8.6971994072900520e+02,3.8699964246337604e-01,1.2200000000000000e+00
24,1.0251256281407035e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3286911116356750e-01,3.3657361184246230e+02,3.3022293876314082e+05,2.8734927789186561e+06,8.6950735753830531e+02,3.8708540982947909e-01,1.2200000000000000e+00
25,1.0678391959798994e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3295171306768951e-01,3.3656564957505122e+02,3.3021817882050853e+05,2.8730129199367217e+06,8.6943370646428343e+02,3.8710904244069289e-01,1.2200000000000000e+00
26,1.1105527638190955e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3276007662035718e-01,3.3655766790781303e+02,3.3021338568706054e+05,2.8739824030660004e+06,8.6958375112306339e+02,3.8703306895184086e-01,1.2200000000000000e+00
27,1.1532663316582914e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3233242258616564e-01,3.3655025289825301e+02,3.3020886201481899e+05,2.8762046219198601e+06,8.6992701622807272e+02,3.8687182559004246e-01,1.2200000000000000e+00
28,1.1959798994974875e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3182469599766113e-01,3.3654403537507142e+02,3.3020492805928347e+05,2.8788607170938076e+06,8.7033698711039074e+02,3.8668244640783633e-01,1.2200000000000000e+00
29,1.2386934673366834e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3140387479960705e-01,3.3653936024325452e+02,3.3020176253062428e+05,2.8810670036957497e+06,8.7067735743539743e+02,3.8652591269232023e-01,1.2200000000000000e+00
30,1.2814070351758793e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3117734281755380e-01,3.3653616507357606e+02,3.3019934681041824e+05,2.8822497983779069e+06,8.7085981159577238e+02,3.8644126252295852e-01,1.2200000000000000e+00
31,1.3241206030150754e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3117694098269941e-01,3.3653421838768764e+02,3.3019757875819231e+05,2.8822361510293246e+06,8.7085780948482204e+02,3.8643991558940372e-01,1.2200000000000000e+00
32,1.3668341708542713e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3139592403508140e-01,3.3653344159587147e+02,3.3019642458399181e+05,2.8810616114619630e+06,8.7067683332283036e+02,3.8651934761090778e-01,1.2200000000000000e+00
33,1.4095477386934674e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3182093257553098e-01,3.3653397771524777e+02,3.3019595194155636e+05,2.8788005852036723e+06,8.7032823705313422e+02,3.8667477784557058e-01,1.2200000000000000e+00
34,1.4522613065326633e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3241435570857309e-01,3.3653615661340802e+02,3.3019631475234585e+05,2.8756588532146933e+06,8.6984355060837993e+02,3.8689274223856723e-01,1.2200000000000000e+00
35,1.4949748743718594e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3308361586462649e-01,3.3654062241050002e+02,3.3019781407305523e+05,2.8721339867487624e+06,8.6929932991686678e+02,3.8714009182853532e-01,1.2200000000000000e+00
36,1.5376884422110553e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3368612590938469e-01,3.3654837008479410e+02,3.3020091743325448e+05,2.8689844354693252e+06,8.6881257218941266e+02,3.8736590705253066e-01,1.2200000000000000e+00
37,1.5804020100502512e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3407023938471365e-01,3.3656021947927826e+02,3.3020601514760475e+05,2.8670091128370552e+06,8.6850678674963865e+02,3.8751593495180975e-01,1.2200000000000000e+00
38,1.6231155778894473e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3413907465179111e-01,3.3657607181221516e+02,3.3021307148601790e+05,2.8667123200007165e+06,8.6846010122178461e+02,3.8755501990097924e-01,1.2200000000000000e+00
39,1.6658291457286432e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3391087282855343e-01,3.3659485044199727e+02,3.3022159143090236e+05,2.8679922431758298e+06,8.6865688412722454e+02,3.8748884236402270e-01,1.2200000000000000e+00
40,1.7085427135678393e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3349695522789864e-01,3.3661491432905785e+02,3.3023080876984511e+05,2.8702587319609378e+06,8.6900592360735504e+02,3.8735629434115498e-01,1.2200000000000000e+00
41,1.7512562814070352e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3302702445630490e-01,3.3663459482251437e+02,3.3023993557258713e+05,2.8728237347536534e+06,8.6940092240576644e+02,3.8720294187288706e-01,1.2200000000000000e+00
42,1.7939698492462310e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3260320571041042e-01,3.3665271323959217e+02,3.3024840698869561e+05,2.8751430925580538e+06,8.6975792173586069e+02,3.8706484278717640e-01,1.2200000000000000e+00
43,1.8366834170854272e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3228105220707134e-01,3.3666888786791912e+02,3.3025603003005579e+05,2.8769194669491211e+06,8.7003112574972317e+02,3.8696188895288641e-01,1.2200000000000000e+00
44,1.8793969849246233e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3207030167216463e-01,3.3668342056575307e+02,3.3026293720733916e+05,2.8781004538160642e+06,8.7021251623810724e+02,3.8689792927964489e-01,1.2200000000000000e+00
45,1.9221105527638191e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3195150792466928e-01,3.3669679304196615e+02,3.3026935719115147e+05,2.8787898853714867e+06,8.7031813632028968e+02,3.8686634115832885e-01,1.2200000000000000e+00
46,1.9648241206030150e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3189591723360208e-01,3.3670915809948542e+02,3.3027537800344708e+05,2.8791404515248188e+06,8.7037154877672265e+02,3.8685680681166407e-01,1.2200000000000000e+00
47,2.0075376884422109e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3187774107748176e-01,3.3672017091356764e+02,3.3028086069134291e+05,2.8792874683333780e+06,8.7039364482799976e+02,3.8685963864098249e-01,1.2200000000000000e+00
48,2.0502512562814070e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3187816924528042e-01,3.3672915588975098e+02,3.3028550405318150e+05,2.8793279039517972e+06,8.7039941282302289e+02,3.8686739780489449e-01,1.2200000000000000e+00
49,2.0929648241206031e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3188518120222883e-01,3.3673537905798986e+02,3.3028896176308888e+05,2.8793223374461294e+06,8.7039823147177253e+02,3.8687507267632859e-01,1.2200000000000000e+00
50,2.1356783919597988e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3189215836547832e-01,3.3673823460874235e+02,3.3029092975984368e+05,2.8793030909912963e+06,8.7039511574662527e+02,3.8687973831274108e-01,1.2200000000000000e+00
51,2.1783919597989949e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3189627911633208e-01,3.3673726297983455e+02,3.3029116456812952e+05,2.8792829028882445e+06,8.7039205352814599e+02,3.8687998312354244e-01,1.2200000000000000e+00
52,2.2211055276381910e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3189686832727623e-01,3.3673201654401777e+02,3.3028943457443052e+05,2.8792632254157919e+06,8.7038929197341804e+02,3.8687518292022105e-01,1.2200000000000000e+00
53,2.2638190954773867e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3189399043044805e-01,3.3672191236697199e+02,3.3028546238676144e+05,2.8792411495411829e+06,8.7038641281196385e+02,3.8686485382868285e-01,1.2200000000000000e+00
54,2.3065326633165828e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3188762549657842e-01,3.3670620005879090e+02,3.3027891115958797e+05,2.8792136494843876e+06,8.7038298844669623e+02,3.8684832370136718e-01,1.2200000000000000e+00
55,2.3492462311557789e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3187758395413276e-01,3.3668423432766792e+02,3.3026950112688751e+05,2.8791791227855133e+06,8.7037880525234436e+02,3.8682494598435774e-01,1.2200000000000000e+00
56,2.3919597989949750e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3186384748238114e-01,3.3665589914802314e+02,3.3025719243131130e+05,2.8791372865462466e+06,8.7037382555793249e+02,3.8679460395332760e-01,1.2200000000000000e+00
57,2.4346733668341711e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3184683791041887e-01,3.3662182269694739e+02,3.3024227731735399e+05,2.8790886107905665e+06,8.7036808913399716e+02,3.8675800147025258e-01,1.2200000000000000e+00
58,2.4773869346733668e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3182739990600358e-01,3.3658328044424280e+02,3.3022533798982482e+05,2.8790340176496357e+06,8.7036167186396131e+02,3.8671657004773441e-01,1.2200000000000000e+00
59,2.5201005025125629e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3180658595673358e-01,3.3654192157335211e+02,3.3020712786155142e+05,2.8789749155265205e+06,8.7035470523660672e+02,3.8667214590614857e-01,1.2200000000000000e+00
60,2.5628140703517586e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3178542844572763e-01,3.3649948613611508e+02,3.3018844662069360e+05,2.8789132458171574e+06,8.7034739824838243e+02,3.8662663531060942e-01,1.2200000000000000e+00
61,2.6055276381909547e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3176483739474911e-01,3.3645763159145639e+02,3.3017006082544196e+05,2.8788512886239546e+06,8.7034001645700300e+02,3.8658182460817397e-01,1.2200000000000000e+00
62,2.6482412060301508e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3174565709373689e-01,3.3641791433508615e+02,3.3015269256500667e+05,2.8787912591063515e+06,8.7033282070025439e+02,3.8653938623664708e-01,1.2200000000000000e+00
63,2.6909547738693465e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3172881139272976e-01,3.3638188846192759e+02,3.3013706182406785e+05,2.8787349316838211e+06,8.7032600402052901e+02,3.8650102020161298e-01,1.2200000000000000e+00
64,2.7336683417085426e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3171541725966276e-01,3.3635122664391713e+02,3.3012394027916971e+05,2.8786835377925169e+06,8.7031966961966691e+02,3.8646860272720701e-01,1.2200000000000000e+00
