Distance	Front Length	Area Inside
0.000000	0.000000e+00	0.000000e+00
0.004174	2.916344e+00	6.626236e-01
0.008347	2.942468e+00	6.750957e-01
0.012521	2.968594e+00	6.865923e-01
0.016694	2.994720e+00	6.994128e-01
0.020868	3.020847e+00	7.134177e-01
0.025042	3.046975e+00	7.250537e-01
0.029215	3.073103e+00	7.382923e-01
0.033389	3.099233e+00	7.502069e-01
0.037563	3.125363e+00	7.639332e-01
0.041736	3.151494e+00	7.745240e-01
0.045910	3.177625e+00	7.885290e-01
0.050083	3.203758e+00	8.035095e-01
0.054257	3.229891e+00	8.158422e-01
0.058431	3.256025e+00	8.292201e-01
0.062604	3.282160e+00	8.435038e-01
0.066778	3.308295e+00	8.565333e-01
0.070952	3.334431e+00	8.697718e-01
0.075125	3.360568e+00	8.836374e-01
0.079299	3.386706e+00	8.981998e-01
0.083472	3.412658e+00	9.099055e-01
0.087646	3.438765e+00	9.258614e-01
0.091820	3.464893e+00	9.400057e-01
0.095993	3.491023e+00	9.542894e-01
0.100167	3.517154e+00	9.682247e-01
0.104341	3.543287e+00	9.833445e-01
0.108514	3.569423e+00	9.983250e-01
0.112688	3.595558e+00	1.012121e+00
0.116861	3.621695e+00	1.027937e+00
0.121035	3.647833e+00	1.042221e+00
0.125209	3.673972e+00	1.057480e+00
0.129382	3.700111e+00	1.073506e+00
0.133556	3.726251e+00	1.089601e+00
0.137730	3.752392e+00	1.104721e+00
0.141903	3.778534e+00	1.118656e+00
0.146077	3.804676e+00	1.134612e+00
0.150250	3.830819e+00	1.149871e+00
0.154424	3.856963e+00	1.165340e+00
0.158598	3.883107e+00	1.182550e+00
0.162771	3.909253e+00	1.199342e+00
0.166945	3.935240e+00	1.214880e+00
0.171119	3.961364e+00	1.231463e+00
0.175292	3.987504e+00	1.247837e+00
0.179466	4.013647e+00	1.264907e+00
0.183639	4.039790e+00	1.279957e+00
0.187813	4.065935e+00	1.297307e+00
0.191987	4.092081e+00	1.314517e+00
0.196160	4.118229e+00	1.330543e+00
0.200334	4.144376e+00	1.349146e+00
0.204508	4.170525e+00	1.366774e+00
0.208681	4.196675e+00	1.384263e+00
0.212855	4.222824e+00	1.400289e+00
0.217028	4.248975e+00	1.418614e+00
0.221202	4.275126e+00	1.435406e+00
0.225376	4.301278e+00	1.452128e+00
0.229549	4.327430e+00	1.469199e+00
0.233723	4.353583e+00	1.489475e+00
0.237896	4.379737e+00	1.505988e+00
0.242070	4.405891e+00	1.525497e+00
0.246244	4.432045e+00	1.543404e+00
0.250417	4.458050e+00	1.562287e+00
0.254591	4.484189e+00	1.579984e+00
0.258765	4.510339e+00	1.598588e+00
0.262938	4.536491e+00	1.618446e+00
0.267112	4.562645e+00	1.634053e+00
0.271285	4.588798e+00	1.655305e+00
0.275459	4.614954e+00	1.675302e+00
0.279633	4.641110e+00	1.693209e+00
0.283806	4.667266e+00	1.712718e+00
0.287980	4.693424e+00	1.731461e+00
0.292154	4.719582e+00	1.752294e+00
0.296327	4.745740e+00	1.770550e+00
0.300501	4.771899e+00	1.790547e+00
0.304674	4.798058e+00	1.810683e+00
0.308848	4.824218e+00	1.828521e+00
0.313022	4.850378e+00	1.850608e+00
0.317195	4.876539e+00	1.871441e+00
0.321369	4.902700e+00	1.890742e+00
0.325543	4.928861e+00	1.910808e+00
0.329716	4.955023e+00	1.930945e+00
0.333890	4.981050e+00	1.952057e+00
0.338063	5.007198e+00	1.971427e+00
0.342237	5.033356e+00	1.993375e+00
0.346411	5.059516e+00	2.014905e+00
0.350584	5.085676e+00	2.034066e+00
0.354758	5.111837e+00	2.057338e+00
0.358932	5.138000e+00	2.077335e+00
0.363105	5.164163e+00	2.099144e+00
0.367279	5.190326e+00	2.119211e+00
0.371452	5.216490e+00	2.141298e+00
0.375626	5.242655e+00	2.163246e+00
0.379800	5.268820e+00	2.184289e+00
0.383973	5.294985e+00	2.208188e+00
0.388147	5.321151e+00	2.229439e+00
0.392321	5.347317e+00	2.252223e+00
0.396494	5.373483e+00	2.273823e+00
0.400668	5.399650e+00	2.296329e+00
0.404841	5.425817e+00	2.318973e+00
0.409015	5.451985e+00	2.340155e+00
0.413189	5.478153e+00	2.362521e+00
0.417362	5.504202e+00	2.386420e+00
0.421536	5.530355e+00	2.409692e+00
0.425710	5.556519e+00	2.432755e+00
0.429883	5.582685e+00	2.455400e+00
0.434057	5.608851e+00	2.479020e+00
0.438230	5.635018e+00	2.500620e+00
0.442404	5.661186e+00	2.524519e+00
0.446578	5.687355e+00	2.548000e+00
0.450751	5.713524e+00	2.569739e+00
0.454925	5.739693e+00	2.595171e+00
0.459098	5.765863e+00	2.619906e+00
0.463272	5.792033e+00	2.643666e+00
0.467446	5.818204e+00	2.667635e+00
0.471619	5.844375e+00	2.692231e+00
0.475793	5.870546e+00	2.716130e+00
0.479967	5.896717e+00	2.739402e+00
0.484140	5.922889e+00	2.765251e+00
0.488314	5.949062e+00	2.789569e+00
0.492487	5.975234e+00	2.814095e+00
0.496661	6.001407e+00	2.839248e+00
0.500835	6.027463e+00	2.865934e+00
0.505008	6.053625e+00	2.888858e+00
0.509182	6.079794e+00	2.913941e+00
0.513356	6.105965e+00	2.940488e+00
0.517529	6.132137e+00	2.964108e+00
0.521703	6.158309e+00	2.989610e+00
0.525876	6.184482e+00	3.015739e+00
0.530050	6.210655e+00	3.042564e+00
0.534224	6.236829e+00	3.067578e+00
0.538397	6.263002e+00	3.094752e+00
0.542571	6.289177e+00	3.120602e+00
0.546745	6.315352e+00	3.145476e+00
0.550918	6.341527e+00	3.171675e+00
0.555092	6.367702e+00	3.196828e+00
0.559265	6.393878e+00	3.224629e+00
0.563439	6.420054e+00	3.250688e+00
0.567613	6.446230e+00	3.278767e+00
0.571786	6.472406e+00	3.305314e+00
0.575960	6.498583e+00	3.331164e+00
0.580134	6.524760e+00	3.358338e+00
0.584307	6.550828e+00	3.385024e+00
0.588481	6.576995e+00	3.411849e+00
0.592654	6.603169e+00	3.439163e+00
0.596828	6.629343e+00	3.465709e+00
0.601002	6.655519e+00	3.496019e+00
0.605175	6.681695e+00	3.521520e+00
0.609349	6.707872e+00	3.551551e+00
0.613523	6.734050e+00	3.580049e+00
0.617696	6.760227e+00	3.607292e+00
0.621870	6.786405e+00	3.634466e+00
0.626043	6.812583e+00	3.661988e+00
0.630217	6.838762e+00	3.690765e+00
0.634391	6.864941e+00	3.717520e+00
0.638564	6.891120e+00	3.747690e+00
0.642738	6.917299e+00	3.778836e+00
0.646912	6.943479e+00	3.806218e+00
0.651085	6.969658e+00	3.835204e+00
0.655259	6.995838e+00	3.863423e+00
0.659432	7.022019e+00	3.892060e+00
0.663606	7.048199e+00	3.920349e+00
0.667780	7.074281e+00	3.949264e+00
0.671953	7.100451e+00	3.981107e+00
0.676127	7.126629e+00	4.008420e+00
0.680301	7.152807e+00	4.039426e+00
0.684474	7.178986e+00	4.070292e+00
0.688648	7.205166e+00	4.099626e+00
0.692821	7.231346e+00	4.129169e+00
0.696995	7.257526e+00	4.158224e+00
0.701169	7.283707e+00	4.188255e+00
0.705342	7.309889e+00	4.217658e+00
0.709516	7.336070e+00	4.251312e+00
0.713689	7.362252e+00	4.281203e+00
0.717863	7.388434e+00	4.310955e+00
0.722037	7.414616e+00	4.341473e+00
0.726210	7.440798e+00	4.373734e+00
0.730384	7.466981e+00	4.403346e+00
0.734558	7.493164e+00	4.433446e+00
0.738731	7.519347e+00	4.463895e+00
0.742905	7.545530e+00	4.496991e+00
0.747078	7.571714e+00	4.526952e+00
0.751252	7.597807e+00	4.561442e+00
0.755426	7.623980e+00	4.592169e+00
0.759599	7.650161e+00	4.623315e+00
0.763773	7.676342e+00	4.653276e+00
0.767947	7.702524e+00	4.688044e+00
0.772120	7.728706e+00	4.717936e+00
0.776294	7.754890e+00	4.749708e+00
0.780467	7.781073e+00	4.782665e+00
0.784641	7.807257e+00	4.816598e+00
0.788815	7.833441e+00	4.847882e+00
0.792988	7.859625e+00	4.879655e+00
0.797162	7.885810e+00	4.914005e+00
0.801336	7.911994e+00	4.944872e+00
0.805509	7.938179e+00	4.977062e+00
0.809683	7.964364e+00	5.010995e+00
0.813856	7.990550e+00	5.044509e+00
0.818030	8.016735e+00	5.077954e+00
0.822204	8.042921e+00	5.111747e+00
0.826377	8.069107e+00	5.146516e+00
0.830551	8.095293e+00	5.179751e+00
0.834725	8.121391e+00	5.213196e+00
0.838898	8.147569e+00	5.246711e+00
0.843072	8.173752e+00	5.278971e+00
0.847245	8.199936e+00	5.312834e+00
0.851419	8.226121e+00	5.348717e+00
0.855593	8.252306e+00	5.382510e+00
0.859766	8.278492e+00	5.416512e+00
0.863940	8.304678e+00	5.450584e+00
0.868114	8.330864e+00	5.486189e+00
0.872287	8.357051e+00	5.519703e+00
0.876461	8.383238e+00	5.554263e+00
0.880634	8.409425e+00	5.588613e+00
0.884808	8.435612e+00	5.622824e+00
0.888982	8.461799e+00	5.658917e+00
0.893155	8.487987e+00	5.695079e+00
0.897329	8.514175e+00	5.731380e+00
0.901503	8.540363e+00	5.765313e+00
0.905676	8.566550e+00	5.800290e+00
0.909850	8.592739e+00	5.836731e+00
0.914023	8.618927e+00	5.872754e+00
0.918197	8.645036e+00	5.906199e+00
0.922371	8.671216e+00	5.943615e+00
0.926544	8.697402e+00	5.982007e+00
0.930718	8.723588e+00	6.016427e+00
0.934891	8.749775e+00	6.053983e+00
0.939065	8.775962e+00	6.090005e+00
0.943239	8.802151e+00	6.125331e+00
0.947412	8.828339e+00	6.160866e+00
0.951586	8.854527e+00	6.198143e+00
0.955760	8.880716e+00	6.236674e+00
0.959933	8.906905e+00	6.272906e+00
0.964107	8.933094e+00	6.311159e+00
0.968280	8.959283e+00	6.348714e+00
0.972454	8.985473e+00	6.384737e+00
0.976628	9.011662e+00	6.422641e+00
0.980801	9.037852e+00	6.460057e+00
0.984975	9.270200e+00	6.496219e+00
0.989149	9.940473e+00	6.532869e+00
0.993322	9.994883e+00	6.562621e+00
0.997496	9.502630e+00	6.563736e+00
1.001669	9.008022e+00	6.315618e+00
1.005843	9.024729e+00	6.360977e+00
1.010017	9.046099e+00	6.399230e+00
1.014190	9.066156e+00	6.436019e+00
1.018364	9.092169e+00	6.470927e+00
1.022538	9.310877e+00	6.518934e+00
1.026711	9.309846e+00	6.554817e+00
1.030885	7.763172e+00	6.563736e+00
1.035058	5.917020e+00	6.563736e+00
1.039232	4.385671e+00	6.563736e+00
1.043406	3.333075e+00	6.563736e+00
1.047579	2.640922e+00	6.563736e+00
1.051753	2.177090e+00	6.563736e+00
1.055927	1.756357e+00	6.563736e+00
1.060100	1.493716e+00	6.563736e+00
1.064274	1.352728e+00	6.563736e+00
1.068447	1.164146e+00	6.563736e+00
1.072621	1.048798e+00	6.563736e+00
1.076795	9.387101e-01	6.563736e+00
1.080968	9.091394e-01	6.563736e+00
1.085142	0.000000e+00	6.855262e+00
